Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",paddling,M,33.0,N
2018.0,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",surfing,M,29.0,N
2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,swimming,M,54.0,N
2018.0,Unprovoked,BRAZIL,Pernambuco,Piedade,swimming,M,34.0,UNKNOWN
2018.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",surfing,M,41.0,N
2018.0,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",surfing,M,37.0,N
2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,surfing,M,,N
2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",surfing,Unknown,,N
2018.0,Unprovoked,BAHAMAS,,Bimini,swimming,M,12.0,N
2018.0,"Valid, but unknown",SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,surfing,M,19.0,N
2018.0,Unprovoked,USA,Hawaii,Kukio Beach,paddling,M,25.0,N
2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,wading,M,10.0,N
2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,swimming,M,69.0,N
2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,surfing,M,18.0,N
2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,diving,M,38.0,N
2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",swimming,F,55.0,N
2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,fishing,M,34.0,N
2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",other,M,35.0,N
2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,other,M,45.0,N
2018.0,"Valid, but unknown",AUSTRALIA,Western Australia,"Avalon Point, Manurah",fishing,M,14.0,N
2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,unknown,M,18.0,N
2018.0,Unprovoked,NEW CALEDONIA,,Nouville,fishing,M,,N
2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,diving,M,,N
2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,diving,M,28.0,N
2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,surfing,M,20.0,N
2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,M,,N
2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",surfing,F,54.0,N
2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",surfing,F,35.0,N
2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,fishing,M,24.0,N
2017.0,Unprovoked,BAHAMAS,,,other,F,25.0,N
2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,M,26.0,N
2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,F,49.0,Y
